"SCCS ID","SOCIETY NAME","OWC","EA-SUB-PER","EA-GA","EA-HU","EA-FI","EA-AH","EA-AG","subsistence_domain","CAL1","CAL1A_scale_of_sub","CAL1B_frequency","CAL1C_gender","practiced","cooperation_present","EA_dependence"
1,"Khoi","FX13","1,3,1,5,0",1,3,1,5,0,"HU",2,2.5,4,5,1,1,3
1,"Khoi","FX13","1,3,1,5,0",1,3,1,5,0,"FI",2,2,NA,5,1,1,1
1,"Khoi","FX13","1,3,1,5,0",1,3,1,5,0,"AH",1,3,4,4,1,1,5
1,"Khoi","FX13","1,3,1,5,0",1,3,1,5,0,"AG",0,0,0,NA,1,0,0
58,"Basseri","MA10","0,1,0,8,1",0,1,0,8,1,"GA",NA,NA,NA,NA,0,NA,0
58,"Basseri","MA10","0,1,0,8,1",0,1,0,8,1,"HU",NA,NA,NA,NA,NA,NA,1
58,"Basseri","MA10","0,1,0,8,1",0,1,0,8,1,"FI",NA,NA,NA,NA,NA,NA,0
58,"Basseri","MA10","0,1,0,8,1",0,1,0,8,1,"AH",2,2,NA,4,1,1,8
58,"Basseri","MA10","0,1,0,8,1",0,1,0,8,1,"AG",NA,NA,NA,NA,NA,NA,1
57,"Kurds","MA11","0,0,1,4,5",0,0,1,4,5,"GA",NA,NA,NA,NA,0,NA,0
57,"Kurds","MA11","0,0,1,4,5",0,0,1,4,5,"HU",NA,NA,NA,NA,0,NA,0
57,"Kurds","MA11","0,0,1,4,5",0,0,1,4,5,"FI",NA,NA,NA,NA,NA,NA,1
57,"Kurds","MA11","0,0,1,4,5",0,0,1,4,5,"AH",1,3,4,3,1,1,4
57,"Kurds","MA11","0,0,1,4,5",0,0,1,4,5,"AG",1,2,2,3,1,1,5
46,"Rwala Bedouin","MD04","1,1,0,8,0",1,1,0,8,0,"GA",NA,NA,NA,NA,NA,NA,1
46,"Rwala Bedouin","MD04","1,1,0,8,0",1,1,0,8,0,"HU",2,1,NA,5,1,1,1
46,"Rwala Bedouin","MD04","1,1,0,8,0",1,1,0,8,0,"FI",NA,NA,NA,NA,0,NA,0
46,"Rwala Bedouin","MD04","1,1,0,8,0",1,1,0,8,0,"AH",1,2,NA,5,1,1,8
46,"Rwala Bedouin","MD04","1,1,0,8,0",1,1,0,8,0,"AG",NA,NA,NA,NA,0,NA,0
36,"Somali","MO04","0,0,0,9,1",0,0,0,9,1,"GA",NA,NA,NA,NA,0,NA,0
36,"Somali","MO04","0,0,0,9,1",0,0,0,9,1,"HU",NA,NA,NA,NA,0,NA,0
36,"Somali","MO04","0,0,0,9,1",0,0,0,9,1,"FI",NA,NA,NA,NA,0,NA,0
36,"Somali","MO04","0,0,0,9,1",0,0,0,9,1,"AH",1,3,NA,5,1,1,9
36,"Somali","MO04","0,0,0,9,1",0,0,0,9,1,"AG",1,NA,NA,NA,1,1,1
37,"Amhara","MP05","0,0,1,3,6",0,0,1,3,6,"GA",NA,NA,NA,NA,0,NA,0
37,"Amhara","MP05","0,0,1,3,6",0,0,1,3,6,"HU",NA,NA,NA,NA,0,NA,0
37,"Amhara","MP05","0,0,1,3,6",0,0,1,3,6,"FI",NA,NA,NA,NA,NA,NA,1
37,"Amhara","MP05","0,0,1,3,6",0,0,1,3,6,"AH",2,3,4,NA,1,1,3
37,"Amhara","MP05","0,0,1,3,6",0,0,1,3,6,"AG",1,1.5,1,5,1,1,6
35,"Konso","MP17","0,0,0,4,6",0,0,0,4,6,"GA",NA,NA,NA,NA,0,NA,0
35,"Konso","MP17","0,0,0,4,6",0,0,0,4,6,"HU",NA,NA,NA,NA,NA,NA,0
35,"Konso","MP17","0,0,0,4,6",0,0,0,4,6,"FI",NA,NA,NA,NA,0,NA,0
35,"Konso","MP17","0,0,0,4,6",0,0,0,4,6,"AH",NA,NA,NA,NA,NA,NA,4
35,"Konso","MP17","0,0,0,4,6",0,0,0,4,6,"AG",2,3,NA,3,1,1,6
29,"Fur","MQ08","0,0,1,3,6",0,0,1,3,6,"GA",NA,NA,NA,NA,NA,NA,0
29,"Fur","MQ08","0,0,1,3,6",0,0,1,3,6,"HU",NA,NA,NA,NA,0,NA,0
29,"Fur","MQ08","0,0,1,3,6",0,0,1,3,6,"FI",NA,NA,NA,NA,NA,NA,1
29,"Fur","MQ08","0,0,1,3,6",0,0,1,3,6,"AH",1,2.5,4,4,1,1,3
29,"Fur","MQ08","0,0,1,3,6",0,0,1,3,6,"AG",0,0,0,NA,1,0,6
39,"Barabra","MR08","0,0,1,3,6",0,0,1,3,6,"GA",NA,NA,NA,NA,0,NA,0
39,"Barabra","MR08","0,0,1,3,6",0,0,1,3,6,"HU",NA,NA,NA,NA,0,NA,0
39,"Barabra","MR08","0,0,1,3,6",0,0,1,3,6,"FI",1,1,NA,NA,1,1,1
39,"Barabra","MR08","0,0,1,3,6",0,0,1,3,6,"AH",2,1,4,5,1,1,3
39,"Barabra","MR08","0,0,1,3,6",0,0,1,3,6,"AG",2,1,NA,NA,1,1,6
43,"Fellahin","MR13","0,0,1,3,6",0,0,1,3,6,"GA",NA,NA,NA,NA,0,NA,0
43,"Fellahin","MR13","0,0,1,3,6",0,0,1,3,6,"HU",NA,NA,NA,NA,0,NA,0
43,"Fellahin","MR13","0,0,1,3,6",0,0,1,3,6,"FI",NA,NA,NA,NA,NA,NA,1
43,"Fellahin","MR13","0,0,1,3,6",0,0,1,3,6,"AH",1,1.5,NA,5,1,1,3
43,"Fellahin","MR13","0,0,1,3,6",0,0,1,3,6,"AG",1,2.5,NA,5,1,1,6
25,"Fulani","MS11","0,0,0,9,1",0,0,0,9,1,"GA",NA,NA,NA,NA,NA,NA,0
25,"Fulani","MS11","0,0,0,9,1",0,0,0,9,1,"HU",NA,NA,NA,NA,NA,NA,0
25,"Fulani","MS11","0,0,0,9,1",0,0,0,9,1,"FI",NA,NA,NA,NA,NA,NA,0
25,"Fulani","MS11","0,0,0,9,1",0,0,0,9,1,"AH",1,1,1,3,1,1,9
25,"Fulani","MS11","0,0,0,9,1",0,0,0,9,1,"AG",NA,NA,NA,NA,NA,NA,1
